title,released,rating_x,ratings_count_x,metacritic_score,genres,platforms,developer,publisher,rating_y,user score,ratings_count_y
300 MARCH TO GLORY,2007-02-27,,,,3D BEAT-'EM-UP,PSP,COLLISION STUDIOS,WARNER BROS. INTERACTIVE ENTERTAINMENT,RATED M FOR MATURE,6.1,27.0
3000TH DUEL,2020-02-19,EVERYONE 10+,4.0,,,,,,,,
3000TH DUEL,2020-02-19,,,,2D PLATFORMER,NINTENDO SWITCH,NEOPOPCORN CORP,NEOPOPCORN CORP,RATED E +10 FOR EVERYONE +10,8.4,64.0
3079,2011-10-23,,8.0,,,,,,,,
3089 -- FUTURISTIC ACTION RPG,2014-01-10,,11.0,,,,,,,,
30XX,2023-08-09,,,,2D PLATFORMER,NINTENDO SWITCH,BATTERYSTAPLE GAMES,BATTERYSTAPLE GAMES,,7.1,7.0
35MM,2016-05-27,,106.0,,,,,,,,
36 FRAGMENTS OF MIDNIGHT,2017-08-07,EVERYONE 10+,26.0,,,,,,,,
39 DAYS TO MARS,2018-04-25,,,,ACTION PUZZLE,PC,IT'S ANECDOTAL,IT'S ANECDOTAL,,5.0,10.0
3D AFTER BURNER II,2015-01-15,,,,AIRCRAFT COMBAT SIM,3DS,M2,SEGA,RATED E +10 FOR EVERYONE +10,7.8,22.0
3D DOT GAME HEROES,2009-11-05,EVERYONE 10+,35.0,77.0,,,,,,,
3D DOT GAME HEROES,2010-05-11,,,,ACTION RPG,PLAYSTATION 3,SILICON STUDIO,ATLUS,RATED E +10 FOR EVERYONE +10,7.5,82.0
3D GIRL CUSTOM EVOLUTION,2013-11-15,ADULTS ONLY,33.0,,,,,,,,
3D PINBALL: SPACE CADET,1995-01-01,,80.0,,,,,,,,
3D ULTRA MINIGOLF,2010-01-06,EVERYONE,19.0,,,,,,,,
3D ULTRA MINIGOLF ADVENTURES,2007-04-18,,,,GOLF,PC,WANAKO STUDIOS,SIERRA ONLINE,RATED E FOR EVERYONE,5.9,13.0
3DMARK,,,153.0,,,,,,,,
3DRPG,2016-01-12,,2.0,,,,,,,,
3DSUNSHINE,2016-11-01,,1.0,,,,,,,,
3ON3 FREESTYLE,2016-12-06,EVERYONE 10+,70.0,,,,,,,,
3ON3 FREESTYLE: REBOUND,2020-07-14,,4.0,,,,,,,,
3SWITCHED,2012-03-29,,5.0,,,,,,,,
4 ELEMENTS,2010-07-12,,21.0,,,,,,,,
404SIGHT,2015-04-16,,24.0,,,,,,,,
428 SHIBUYA SCRAMBLE,2018-09-04,,,,VISUAL NOVEL,PC,SPIKE CHUNSOFT,SPIKE CHUNSOFT,RATED T FOR TEEN,8.0,39.0
428: SHIBUYA SCRAMBLE,2018-09-04,TEEN,38.0,85.0,,,,,,,
4PM,2014-07-09,,,,FIRST-PERSON ADVENTURE,PC,BOJAN BRBORA,4PM GAME,,4.1,27.0
4X4 EVO 2,2001-11-15,,,,AUTO RACING SIM,XBOX,TERMINAL REALITY,GATHERING,RATED E FOR EVERYONE,0.0,0.0
4X4 EVOLUTION,2000-10-29,,,,AUTO RACING SIM,PLAYSTATION 2,TERMINAL REALITY,GATHERING,RATED E FOR EVERYONE,6.8,18.0
50 CENT BLOOD ON THE SAND,2009-02-24,,,,THIRD PERSON SHOOTER,PLAYSTATION 3,SWORDFISH STUDIOS,THQ,RATED M FOR MATURE,6.1,55.0
50 CENT BULLETPROOF,2006-08-29,,,,ACTION ADVENTURE,PLAYSTATION 2,HIGH VOLTAGE SOFTWARE,VIVENDI GAMES,RATED M FOR MATURE,4.3,8.0
50 CENT: BOTS,2009-02-24,MATURE,26.0,,,,,,,,
