title,released,rating,ratings_count,genres,platforms
MICROSOFT FLIGHT SIMULATOR 2004 A CENTURY OF FLIGHT,2003-07-29,RATED E FOR EVERYONE,32,AIRCRAFT SIM,PC
MICROSOFT FLIGHT SIMULATOR 2020,2020-08-18,RATED E FOR EVERYONE,263,SIMULATION,XBOX ONE
MICROSOFT FLIGHT SIMULATOR X,2006-10-17,RATED E FOR EVERYONE,117,AIRCRAFT SIM,PC
MICROSOFT GOLF 2001 EDITION,2000-08-24,RATED E FOR EVERYONE,5,GOLF SIM,PC
MICROSOFT TRAIN SIMULATOR,2001-05-31,RATED E FOR EVERYONE,19,TRAIN SIM,PC
MIDDLEEARTH SHADOW OF MORDOR,2014-09-30,RATED M FOR MATURE,2427,ACTION,LINUX
MIDDLEEARTH SHADOW OF MORDOR,2014-09-30,RATED M FOR MATURE,2794,OPEN-WORLD ACTION,PLAYSTATION 4
MIDDLEEARTH SHADOW OF MORDOR  THE BRIGHT LORD,2015-02-24,RATED M FOR MATURE,38,OPEN-WORLD ACTION,XBOX ONE
MIDDLEEARTH SHADOW OF WAR,2017-09-27,RATED M FOR MATURE,1315,ACTION,PC
MIDDLEEARTH SHADOW OF WAR,2017-10-10,RATED M FOR MATURE,1750,OPEN-WORLD ACTION,XBOX ONE
MIDNIGHT CLUB 2,2003-04-09,RATED T FOR TEEN,118,RACING,PC
MIDNIGHT CLUB 3 DUB EDITION,2005-04-11,RATED E +10 FOR EVERYONE +10,17,AUTO RACING SIM,XBOX
MIDNIGHT CLUB 3 DUB EDITION REMIX,2006-03-13,RATED E +10 FOR EVERYONE +10,148,AUTO RACING SIM,XBOX
MIDNIGHT CLUB II,2003-04-09,RATED T FOR TEEN,57,AUTO RACING SIM,PLAYSTATION 2
MIDNIGHT CLUB LA REMIX,2008-10-20,RATED T FOR TEEN,42,AUTO RACING,PSP
MIDNIGHT CLUB LOS ANGELES,2008-10-20,RATED T FOR TEEN,111,AUTO RACING SIM,PLAYSTATION 3
MIDNIGHT CLUB LOS ANGELES,2008-10-20,RATED T FOR TEEN,171,RACING,PSP
MIDNIGHT CLUB STREET RACING,2000-10-25,RATED T FOR TEEN,27,AUTO RACING SIM,PLAYSTATION 2
MIDNIGHT NOWHERE,2004-03-29,RATED M FOR MATURE,0,SURVIVAL,PC
MIDNIGHT POOL,2008-08-18,RATED E FOR EVERYONE,0,BILLIARDS,WII
MIDTOWN MADNESS 2,2000-09-21,RATED E FOR EVERYONE,65,AUTO RACING,PC
MIDTOWN MADNESS 3,2003-06-17,RATED E FOR EVERYONE,18,AUTO RACING,XBOX
MIDWAY ARCADE ORIGINS,2012-11-06,RATED T FOR TEEN,7,COMPILATION,PLAYSTATION 3
MIDWAY ARCADE ORIGINS,2012-11-06,RATED T FOR TEEN,11,RACING,XBOX ONE
MIDWAY ARCADE TREASURES,2003-11-24,RATED T FOR TEEN,0,COMPILATION,GAMECUBE
MIDWAY ARCADE TREASURES 2,2004-10-11,RATED M FOR MATURE,5,COMPILATION,PLAYSTATION 2
MIDWAY ARCADE TREASURES DELUXE EDITION,2006-02-17,RATED M FOR MATURE,0,COMPILATION,PC
