title,released,rating,ratings_count,genres,platforms
80 DAYS,2014-07-30,,87,ADVENTURE,NINTENDO SWITCH
80 DAYS,2014-07-31,,54,VISUAL NOVEL,NINTENDO SWITCH
80S OVERDRIVE,2017-12-07,RATED E FOR EVERYONE,4,RACING,NINTENDO SWITCH
88 HEROES,2017-03-24,RATED E +10 FOR EVERYONE +10,5,2D PLATFORMER,PC
88 HEROES 98 HEROES EDITION,2017-10-10,RATED E +10 FOR EVERYONE +10,8,2D PLATFORMER,NINTENDO SWITCH
8BIT ADVENTURE ANTHOLOGY VOLUME 1,2017-10-31,RATED E +10 FOR EVERYONE +10,0,COMPILATION,PLAYSTATION 4
8BIT ARMIES,2016-04-21,,23,STRATEGY,PLAYSTATION 4
8BIT ARMIES,2016-04-22,RATED E +10 FOR EVERYONE +10,22,COMMAND RTS,PC
8BIT ARMIES ARENA ,2017-02-17,,6,ACTION,PC
8BIT BAYONETTA,2017-03-31,,98,ACTION,WEB
8BIT COMMANDO,2014-06-02,,10,ACTION,PC
8BIT FIESTA,2016-09-30,,9,ACTION,PC
8BIT HORDES,2019-02-01,RATED E +10 FOR EVERYONE +10,7,COMMAND RTS,PC
8BIT NINJA,2012-04-03,,0,RPG,IOS (IPHONE/IPAD)
8BITBOY,2014-05-05,,51,ACTION,MACOS
8BITMMO,2015-01-26,,34,ACTION,LINUX
8DOORS ARUMS AFTERLIFE ADVENTURE,,,7,ACTION,PC
8I  MAKE VR HUMAN,2016-04-25,,3,ADVENTURE,PC
8INFINITY,2016-09-23,,11,ACTION,MACOS
9 CLUES 2 THE WARD,2015-07-23,RATED T FOR TEEN,10,ADVENTURE,ANDROID
9 CLUES THE SECRET OF SERPENT CREEK,2014-07-18,,23,ADVENTURE,IOS
9 MONKEYS OF SHAOLIN,2020-10-16,RATED T FOR TEEN,22,3D BEAT-'EM-UP,XBOX ONE
9 MONKEYS OF SHAOLIN,2020-10-16,RATED T FOR TEEN,31,ACTION,XBOX ONE
9 MONKEYS OF SHAOLIN PROLOGUE,2020-10-02,,5,ACTION,PC
9 YEARS OF SHADOWS,2023-03-27,,36,METROIDVANIA,PC
903M,2013-11-20,,22,INDIE,PC
911 OPERATOR,2017-02-24,,71,STRATEGY,PC
911 OPERATOR,2017-02-24,,149,STRATEGY,XBOX ONE
99 LEVELS TO HELL,2013-02-25,,19,ACTION,PC
99 SPIRITS,2013-11-12,,13,ADVENTURE,PC
999 NINE HOURS NINE PERSONS NINE DOORS,2010-11-16,RATED M FOR MATURE,162,ADVENTURE,PC
99BULLETS,2011-05-23,RATED E FOR EVERYONE,0,VERTICAL SHOOT-'EM-UP,DS
99VIDAS,2016-12-22,,94,ACTION,PLAYSTATION 3
99VIDAS,2017-07-18,RATED T FOR TEEN,43,2D BEAT-'EM-UP,PC
9DRAGONS,2017-02-14,,7,RPG,PC
9MM,2011-07-14,,6,THIRD PERSON SHOOTER,IOS (IPHONE/IPAD)
A BASTARD'S TALE,2016-10-04,RATED T FOR TEEN,6,2D BEAT-'EM-UP,PC
A BIRD STORY,2014-11-05,,245,ACTION,MACOS
A BIRD STORY,2014-11-07,,167,ADVENTURE,PC
A BLIND LEGEND,2016-04-07,,10,ACTION,PC
A BOY AND HIS BLOB,2009-10-13,RATED E FOR EVERYONE,35,2D PLATFORMER,WII
A BOY AND HIS BLOB,2009-10-13,RATED E FOR EVERYONE,41,ACTION,ANDROID
A CASE OF DISTRUST,2018-02-08,RATED T FOR TEEN,16,ADVENTURE,NINTENDO SWITCH
A CASE OF DISTRUST,2018-02-08,,13,ADVENTURE,PC
A CITY SLEEPS,2014-10-16,,6,ACTION,MACOS
A CITY SLEEPS,2014-10-16,,6,HORIZONTAL SHOOT-'EM-UP,PC
A DANCE OF FIRE AND ICE,2019-01-03,RATED E FOR EVERYONE,60,ARCADE,ANDROID
A DATE IN THE PARK,2014-11-14,,30,ADVENTURE,PC
A DEAD WORLDS DREAM,2016-09-20,,0,ADVENTURE,PC
