title,released,developer,publisher,genres,rating,user score,ratings_count,platforms
MEGA MAN ZX ADVENT,2007-10-23,INTI CREATES,CAPCOM,2D PLATFORMER,RATED E +10 FOR EVERYONE +10,8.0,67,DS
SPECTRAL FORCE 3,2008-07-29,XPEC,ATLUS,TURN-BASED STRATEGY,RATED T FOR TEEN,7.7,11,XBOX 360
EA SPORTS UFC 2,2016-03-15,EA SPORTS,EA SPORTS,COMBAT SPORT,RATED T FOR TEEN,5.6,98,XBOX ONE
THE DENPA MEN 3 THE RISE OF DIGITOLL,2014-05-08,GENIUS SONORITY INC.,GENIUS SONORITY INC.,RPG,RATED E FOR EVERYONE,8.0,16,3DS
TOTAL WAR THREE KINGDOMS  MANDATE OF HEAVEN,2020-01-16,CREATIVE ASSEMBLY,SEGA,REAL-TIME STRATEGY,,7.0,20,PC
PUZZLEGEDDON,2009-12-16,TECMO,TECMO,ACTION PUZZLE,RATED E FOR EVERYONE,0.0,0,PC
TORTUGA  TWO TREASURES,2007-03-12,ASCARON ENTERTAINMENT,CDV SOFTWARE,ACTION ADVENTURE,RATED T FOR TEEN,0.0,0,PC
NI NO KUNI II REVENANT KINGDOM  PRINCE'S EDITION,2021-09-17,LEVEL 5,BANDAI NAMCO GAMES,JRPG,RATED T FOR TEEN,8.1,29,NINTENDO SWITCH
ZENONIA 3 THE MIDGARD STORY,2011-04-28,GAMEVIL INC.,GAMEVIL INC.,ACTION RPG,,6.8,5,IOS (IPHONE/IPAD)
MAHJONG TALES ANCIENT WISDOM,2009-01-08,CREAT STUDIOS,TIKGAMES,BOARD,RATED E FOR EVERYONE,7.0,5,PLAYSTATION 3
WORMS 4 MAYHEM,2005-10-04,TEAM17,MAJESCO,ARTILLERY,RATED T FOR TEEN,7.0,9,PC
FARMING SIMULATOR 17,2016-10-25,GIANTS SOFTWARE,FOCUS HOME INTERACTIVE,VIRTUAL CAREER,RATED E FOR EVERYONE,7.2,43,PC
SCENE IT? BOX OFFICE SMASH,2008-10-28,SCREENLIFE GAMES,MICROSOFT GAME STUDIOS,TRIVIA,RATED T FOR TEEN,7.4,14,XBOX 360
THE LEGEND OF ZELDA OCARINA OF TIME 3D,2011-06-19,GREZZO,NINTENDO,OPEN-WORLD ACTION,RATED E +10 FOR EVERYONE +10,9.1,2010,3DS
SONIC FRONTIERS,2022-11-08,SONIC TEAM,SEGA,3D PLATFORMER,RATED E +10 FOR EVERYONE +10,8.2,3219,NINTENDO SWITCH
DEATH WORM,2010-11-06,PLAYCREEK,PLAYCREEK,ACTION,,0.0,0,IOS (IPHONE/IPAD)
SHINOBI,2002-11-10,OVERWORKS,SEGA,3D BEAT-'EM-UP,RATED M FOR MATURE,8.6,24,PLAYSTATION 2
JOE DEVER'S LONE WOLF,2013-11-14,FORGE REPLY,FORGE REPLY,ACTION,,6.7,9,IOS (IPHONE/IPAD)
SPRAY,2008-12-03,EKO SOFTWARE,TECMO,ACTION ADVENTURE,RATED E +10 FOR EVERYONE +10,4.3,0,WII
DARKSTALKERS CHRONICLE THE CHAOS TOWER,2005-03-24,CAPCOM,CAPCOM,2D FIGHTING,RATED T FOR TEEN,8.3,12,PSP
JUICED ELIMINATOR,2006-06-28,JUICE GAMES,THQ,AUTO RACING,RATED T FOR TEEN,8.3,8,PSP
ELEMENT4L,2013-05-24,I-ILLUSIONS,I-ILLUSIONS,2D PLATFORMER,,7.7,39,PC
GRAY MATTER,2011-02-22,WIZARBOX,VIVA MEDIA,POINT-AND-CLICK,RATED T FOR TEEN,7.6,108,PC
INFAMOUS 2,2011-06-07,SUCKER PUNCH,SCEA,OPEN-WORLD ACTION,RATED T FOR TEEN,8.6,1355,PLAYSTATION 3
REBELSTAR TACTICAL COMMAND,2005-09-06,CODO GAMES,NAMCO,TURN-BASED STRATEGY,RATED E +10 FOR EVERYONE +10,7.0,6,GAME BOY ADVANCE
ENDLESS DUNGEON,2023-10-19,AMPLITUDE STUDIOS,SEGA,REAL-TIME TACTICS,RATED T FOR TEEN,7.4,22,PC
MXGP 2019,2019-08-27,MILESTONE S.R.L,MILESTONE S.R.L,AUTO RACING,RATED E FOR EVERYONE,3.7,10,XBOX ONE
PIGS IN TREES,2011-08-11,PAN VISION,PAN VISION,ACTION,,0.0,0,IOS (IPHONE/IPAD)
