title,released,developer,publisher,genres,rating,user score,ratings_count,platforms
MONSTER HUNTER NOW,2023-09-13,NIANTIC LABS,NIANTIC LABS,ACTION RPG,,5.2,16,IOS (IPHONE/IPAD)
POST MORTEM,2003-02-27,MICROIDS,THE ADVENTURE COMPANY,POINT-AND-CLICK,RATED M FOR MATURE,7.0,39,PC
DC SUPER HERO GIRLS TEEN POWER,2021-06-04,TOYBOX,NINTENDO,OPEN-WORLD ACTION,RATED E +10 FOR EVERYONE +10,7.0,23,NINTENDO SWITCH
UNCHARTED DRAKE'S FORTUNE,2007-11-16,NAUGHTY DOG,SCEA,LINEAR ACTION ADVENTURE,RATED T FOR TEEN,7.8,3802,PLAYSTATION 3
PICROSS S,2017-09-28,JUPITER CORPORATION,JUPITER CORPORATION,LOGIC PUZZLE,RATED E FOR EVERYONE,7.4,42,NINTENDO SWITCH
THE BLOCKS COMETH BY HALFBOT,2011-02-17,HALFBOT,HALFBOT,ACTION,,0.0,0,IOS (IPHONE/IPAD)
SPYRO SEASON OF ICE,2001-11-07,DIGITAL ECLIPSE,UNIVERSAL INTERACTIVE,3D PLATFORMER,RATED E FOR EVERYONE,6.6,25,GAME BOY ADVANCE
INUYASHA THE SECRET OF THE CURSED MASK,2004-11-02,KAMUI,BANDAI,JRPG,RATED T FOR TEEN,6.8,5,PLAYSTATION 2
BEAT HAZARD,2010-04-15,SHADOWRAGE,COLD BEAM GAMES,TOP-DOWN SHOOT-'EM-UP,RATED E FOR EVERYONE,7.4,149,PC
PUNCH LINE,2018-10-09,5PB,PQUBE,VISUAL NOVEL,RATED M FOR MATURE,4.9,22,PLAYSTATION 4
CARNIVAL GAMES,2007-08-28,CAT DADDY GAMES,GLOBAL STAR SOFTWARE,PARTY,RATED E FOR EVERYONE,5.1,14,WII
SACKBOY'S PREHISTORIC MOVES,2010-12-14,MEDIA MOLECULE,SCEA,3D PLATFORMER,RATED E FOR EVERYONE,6.5,20,PLAYSTATION 3
NAVAL ASSAULT THE KILLING TIDE,2010-06-15,ARTECH STUDIOS,505 GAMES,MARINE COMBAT SIM,RATED T FOR TEEN,4.4,7,XBOX 360
PLAIN SIGHT,2010-04-05,BEATNIK GAMES,BEATNIK GAMES,3D BEAT-'EM-UP,,6.2,19,PC
MAIZE,2016-12-01,FINISH LINE GAMES,FINISH LINE GAMES,ADVENTURE,,7.6,31,PC
SILVER CHAINS,2019-08-06,CRACKED HEADS GAMES,HEADUP GAMES,SURVIVAL,,5.3,13,PLAYSTATION 4
ASTRO BOY OMEGA FACTOR,2004-08-18,HITMAKER,SEGA,2D BEAT-'EM-UP,RATED E FOR EVERYONE,8.7,30,GAME BOY ADVANCE
LEGENDS OF WAR PATTON'S CAMPAIGN,2011-01-03,ENIGMA SOFTWARE PRODUCTIONS,ENIGMA SOFTWARE PRODUCTIONS,STRATEGY,RATED T FOR TEEN,7.9,17,PSP
TUROK REMASTERED,2015-12-17,NIGHT DIVE STUDIOS,NIGHT DIVE STUDIOS,FPS,,7.6,36,NINTENDO SWITCH
ROGUE TROOPER,2006-05-23,REBELLION,EIDOS INTERACTIVE,THIRD PERSON SHOOTER,RATED T FOR TEEN,8.2,11,PLAYSTATION 2
KING OF CLUBS,2008-08-04,OXYGEN INTERACTIVE,CRAVE,GOLF,RATED E FOR EVERYONE,0.0,0,WII
WORLDWIDE SOCCER MANAGER 2009,2008-11-18,SPORTS INTERACTIVE,SEGA,SOCCER MANAGEMENT,RATED E FOR EVERYONE,5.0,9,PC
MLB 12 THE SHOW,2012-03-06,SCEA SAN DIEGO STUDIOS,SCEA,BASEBALL SIM,RATED E FOR EVERYONE,8.0,71,PLAYSTATION 3
JAMES BOND 007 EVERYTHING OR NOTHING,2004-02-17,EA REDWOOD SHORES,EA GAMES,ACTION ADVENTURE,RATED T FOR TEEN,8.3,17,GAME BOY ADVANCE
DOC CLOCK THE TOASTED SANDWICH OF TIME,2010-10-15,STICKMEN STUDIOS,STICKMEN STUDIOS,PUZZLE,RATED E FOR EVERYONE,6.2,17,PC
FIST OF THE NORTH STAR KEN'S RAGE,2010-11-02,KOEI,KOEI TECMO GAMES,3D BEAT-'EM-UP,RATED M FOR MATURE,7.3,28,XBOX 360
STAR WARS JEDI KNIGHT JEDI ACADEMY,2003-09-17,RAVEN SOFTWARE,LUCASARTS,FPS,RATED T FOR TEEN,8.6,501,PC
POSTAL,1997-09-30,RUNNING WITH SCISSORS,RIPCORD GAMES,TOP-DOWN SHOOT-'EM-UP,RATED M FOR MATURE,6.9,175,PC
LONDON 2012  THE OFFICIAL VIDEO GAME OF THE OLYMPIC GAMES,2012-06-26,SEGA STUDIOS AUSTRALIA,SEGA,ATHLETICS,RATED E FOR EVERYONE,6.7,34,PLAYSTATION 3
LEGO HARRY POTTER YEARS 14,2010-06-29,TRAVELLER'S TALES,WARNER BROS. INTERACTIVE ENTERTAINMENT,LINEAR ACTION ADVENTURE,RATED E +10 FOR EVERYONE +10,7.4,93,WII
UNDER NIGHT INBIRTH EXELATEST,2018-02-09,FRENCH-BREAD,AKSYS GAMES,2D FIGHTING,RATED T FOR TEEN,8.1,41,PLAYSTATION 4
EINHANDER,1998-05-05,SQUARESOFT,SCEA,HORIZONTAL SHOOT-'EM-UP,RATED E FOR EVERYONE,8.6,40,PLAYSTATION
WAR FRONT TURNING POINT,2007-02-23,DIGITAL REALITY,CDV SOFTWARE,REAL-TIME STRATEGY,RATED T FOR TEEN,8.1,8,PC
LOONEY TUNES CARTOON CONDUCTOR,2008-06-10,AMAZE ENTERTAINMENT,EIDOS INTERACTIVE,RHYTHM,RATED E FOR EVERYONE,0.0,0,DS
COUNTERSPY,2014-08-19,DYNAMIGHTY,SCEA,ACTION,RATED T FOR TEEN,6.7,174,PLAYSTATION 3
WHERE THE HEART LEADS,2021-07-13,ARMATURE STUDIO,ARMATURE STUDIO,ADVENTURE,RATED T FOR TEEN,0.0,0,PLAYSTATION 4
THESEUS,2017-07-26,FORGE REPLY,FORGE REPLY,ACTION ADVENTURE,RATED T FOR TEEN,6.5,21,PLAYSTATION 4
FINAL FANTASY TYPE0,2015-03-17,HEXADRIVE,SQUARE ENIX,ACTION RPG,RATED M FOR MATURE,7.5,655,PLAYSTATION 4
DODGEBALL ACADEMIA,2021-08-05,POCKET TRAP,HUMBLE GAMES,INDIVIDUAL SPORTS,,8.2,52,PC
KILLING FLOOR 2,2016-11-16,TRIPWIRE INTERACTIVE,DEEP SILVER,FPS,RATED M FOR MATURE,7.1,224,PC
THE KORE GANG,2011-11-08,SNAP DRAGON GAMES,ATARI SA,ACTION ADVENTURE,RATED E +10 FOR EVERYONE +10,8.4,8,WII
BRAVELY DEFAULT,2014-02-07,SILICON STUDIO,NINTENDO,JRPG,RATED T FOR TEEN,8.4,702,3DS
TRAITORS GATE 2,2003-11-02,258 PRODUCTIONS AB,THE ADVENTURE COMPANY,THIRD-PERSON ADVENTURE,RATED T FOR TEEN,3.0,0,PC
MADDEN NFL 06,2005-11-16,EA TIBURON,EA SPORTS,FOOTBALL SIM,RATED E FOR EVERYONE,4.2,28,PLAYSTATION 2
ETERNITY THE LAST UNICORN,2019-03-05,VOID STUDIOS,1C ENTERTAINMENT,ACTION RPG,RATED T FOR TEEN,4.2,22,PC
INTO THE PIT,2021-10-19,NULLPOINTER GAMES,HUMBLE GAMES,FPS,,4.5,8,XBOX ONE
ROCK BAND,2007-11-20,HARMONIX MUSIC SYSTEMS,MTV GAMES,RHYTHM,RATED T FOR TEEN,7.7,100,XBOX 360
NCAA FOOTBALL 2003,2002-07-20,EA SPORTS,EA SPORTS,FOOTBALL SIM,RATED E FOR EVERYONE,6.1,8,PLAYSTATION 2
GIGA WRECKER ALT,2019-04-12,GAME FREAK,LIMITED RUN GAMES,2D PLATFORMER,RATED T FOR TEEN,4.6,11,NINTENDO SWITCH
MARVEL'S GUARDIANS OF THE GALAXY  EPISODE 4 WHO NEEDS YOU,2017-10-10,TELLTALE GAMES,TELLTALE GAMES,THIRD-PERSON ADVENTURE,RATED T FOR TEEN,6.7,23,PLAYSTATION 4
THE SIMS 4 ISLAND LIVING,2019-06-21,MAXIS,ELECTRONIC ARTS,VIRTUAL LIFE,RATED T FOR TEEN,4.8,35,PC
ATELIER LYDIE & SUELLE THE ALCHEMISTS AND THE MYSTERIOUS PAINTINGS,2018-03-27,GUST,KOEI TECMO GAMES,JRPG,RATED T FOR TEEN,7.1,39,PLAYSTATION 4
BLOODY ROAR 3,2001-06-25,EIGHTING,ACTIVISION,3D FIGHTING,RATED T FOR TEEN,8.1,20,PLAYSTATION 2
KNOCKOUT KINGS 2002,2002-03-04,ELECTRONIC ARTS,ELECTRONIC ARTS,COMBAT SPORT,RATED T FOR TEEN,0.0,0,XBOX
ZEN PINBALL 2 ALIENS VS PINBALL,2016-04-26,ZEN STUDIOS,ZEN STUDIOS,PINBALL,,6.1,11,PLAYSTATION 4
NHL 06,2005-09-06,EA CANADA,EA SPORTS,HOCKEY SIM,RATED E +10 FOR EVERYONE +10,0.0,0,PC
CLOCKWORK TALES OF GLASS AND INK,2016-01-22,ARTIFEX MUNDI,ARTIFEX MUNDI,HIDDEN OBJECT,RATED T FOR TEEN,0.0,0,XBOX ONE
BATTLEFIELD 4,2013-10-19,EA DICE,ELECTRONIC ARTS,FPS,RATED M FOR MATURE,6.3,4240,PLAYSTATION 4
DYNASTY WARRIORS GUNDAM 3,2011-06-28,OMEGA FORCE,NAMCO BANDAI GAMES,3D BEAT-'EM-UP,RATED T FOR TEEN,7.8,25,PLAYSTATION 3
THE WALKING DEAD SEASON TWO EPISODE 4  AMID THE RUINS,2014-07-22,TELLTALE GAMES,TELLTALE GAMES,POINT-AND-CLICK,RATED M FOR MATURE,7.9,253,PC
ANGRY VIDEO GAME NERD I & II DELUXE,2020-10-30,FREAKZONE,SCREENWAVE MEDIA,COMPILATION,RATED M FOR MATURE,8.0,15,NINTENDO SWITCH
FINAL FANTASY CRYSTAL CHRONICLES RING OF FATES,2008-03-11,SQUARE ENIX,SQUARE ENIX,ACTION RPG,RATED E +10 FOR EVERYONE +10,7.1,24,DS
MASKMAKER,2021-04-20,INNERSPACE VR,MWM INTERACTIVE,FIRST-PERSON ADVENTURE,,0.0,0,PC
POKEMON UNITE,2021-07-21,TIMI STUDIOS,THE POKEMON COMPANY,MOBA,,4.0,370,NINTENDO SWITCH
MARVEL AVENGERS BATTLE FOR EARTH,2012-10-30,UBISOFT QUEBEC,UBISOFT,3D FIGHTING,RATED T FOR TEEN,7.1,14,WII U
BATTLEZONE,2006-11-06,PARADIGM ENTERTAINMENT,ATARI SA,VEHICLE COMBAT SIM,RATED E +10 FOR EVERYONE +10,0.0,0,PSP
KING CASHING 2,2013-02-28,,,ACTION,,5.5,6,IOS (IPHONE/IPAD)
INERTIAL DRIFT,2020-09-11,LEVEL 91 ENTERTAINMENT,PQUBE,AUTO RACING,RATED E FOR EVERYONE,5.7,7,XBOX ONE
ZENONIA 4 RETURN OF THE LEGEND,2011-12-21,GAMEVIL INC.,GAMEVIL INC.,ACTION RPG,,7.1,15,IOS (IPHONE/IPAD)
MOTOR MAYHEM VEHICULAR COMBAT LEAGUE,2001-06-20,BEYOND GAMES,INFOGRAMES,VEHICLE COMBAT SIM,RATED T FOR TEEN,0.0,0,PLAYSTATION 2
KNIGHTMARE TOWER,2013-08-01,JUICY BEAST STUDIO,JUICY BEAST STUDIO,ACTION RPG,,0.0,0,IOS (IPHONE/IPAD)
FAST LANES BOWLING,2004-01-07,LAB RATS GAMES,ENLIGHT SOFTWARE,BOWLING,RATED E FOR EVERYONE,0.0,0,PC
CRUSH YOUR ENEMIES!,2016-07-13,VILE MONARCH,GAMBITIOUS,REAL-TIME TACTICS,,6.4,12,PC
SINGSTAR LEGENDS,2008-11-04,SCEE LONDON STUDIO,SCEA,RHYTHM,RATED T FOR TEEN,7.8,0,PLAYSTATION 2
SUPERNAUTS,2014-06-25,GRAND CRU GAMES,GRAND CRU GAMES,ACTION,,0.0,0,IOS (IPHONE/IPAD)
GALACTIC CIVILIZATIONS,2003-03-26,STARDOCK,STRATEGY FIRST,4X STRATEGY,RATED E FOR EVERYONE,7.0,26,PC
POKEMON SCARLET,2022-11-18,GAME FREAK,NINTENDO,TRAINER RPG,RATED E FOR EVERYONE,3.4,3428,NINTENDO SWITCH
POKEMON ART ACADEMY,2014-10-24,HEADSTRONG GAMES,NINTENDO,EDUTAINMENT,RATED E FOR EVERYONE,7.4,24,3DS
DISNEY ILLUSION ISLAND,2023-07-28,DLALA STUDIOS,DISNEY INTERACTIVE STUDIOS,2D PLATFORMER,,6.3,61,NINTENDO SWITCH
SUICIDE GUY,2018-05-10,CHUBBY PIXEL,CHUBBY PIXEL,ACTION ADVENTURE,RATED T FOR TEEN,6.1,24,PC
SOLAR ASH,2021-12-02,HEART MACHINE,ANNAPURNA INTERACTIVE,ACTION ADVENTURE,RATED T FOR TEEN,7.0,65,PC
EVER FORWARD,2020-08-13,PATHEA GAMES,PATHEA GAMES,ACTION ADVENTURE,RATED E +10 FOR EVERYONE +10,6.3,10,PC
TIME MACHINE ROGUE PILOT,2012-03-13,LESTA STUDIO,LESTA STUDIO,MATCHING PUZZLE,RATED E FOR EVERYONE,0.0,0,PLAYSTATION 3
MOTIONSPORTS ADRENALINE,2011-11-01,UBISOFT VANCOUVER,UBISOFT,SPORTS,RATED E FOR EVERYONE,6.4,9,PLAYSTATION 3
JULIA AMONG THE STARS,2014-09-12,CARDBOARD BOX ENTERTAINMENT,CARDBOARD BOX ENTERTAINMENT,POINT-AND-CLICK,,7.7,26,PC
FUGA MELODIES OF STEEL,2021-07-29,CYBERCONNECT2,CYBERCONNECT2,RPG,,7.9,37,NINTENDO SWITCH
KAROSHI,2011-02-08,YOYO GAMES,YOYO GAMES,2D PLATFORMER,,5.8,5,IOS (IPHONE/IPAD)
MERCEDESBENZ WORLD RACING,2003-03-20,SYNETIC,TDK MEDIACTIVE,AUTO RACING SIM,RATED E FOR EVERYONE,0.0,0,XBOX
ESCAPE FROM PARADISE CITY,2007-10-26,SIRIUS GAMES,CDV SOFTWARE,RPG,RATED M FOR MATURE,7.0,6,PC
GRAND THEFT AUTO VICE CITY STORIES,2006-10-31,ROCKSTAR LEEDS,ROCKSTAR GAMES,OPEN-WORLD ACTION,RATED M FOR MATURE,8.4,323,PLAYSTATION 2
MARIO PARTY ADVANCE,2005-03-28,AI,NINTENDO,PARTY,RATED E FOR EVERYONE,4.7,62,GAME BOY ADVANCE
YOU'RE IN THE MOVIES,2008-11-17,ZOE MODE,CODEMASTERS,APPLICATION,RATED E FOR EVERYONE,3.0,7,XBOX 360
CITIZEN SLEEPER,2022-05-05,JUMP OVER THE AGE,FELLOW TRAVELLER,WESTERN RPG,,7.3,53,PC
TEENAGE MUTANT NINJA TURTLES BROTHERS UNITE,2014-07-24,,,ACTION,,0.0,0,IOS (IPHONE/IPAD)
CONTRACT KILLER ZOMBIES,2011-10-07,GLU MOBILE,GLU MOBILE,FPS,,0.0,0,IOS (IPHONE/IPAD)
BLACK & WHITE 2,2005-10-04,LIONHEAD STUDIOS,EA GAMES,REAL-TIME STRATEGY,RATED T FOR TEEN,7.1,103,PC
CONTROL ULTIMATE EDITION,2021-02-02,REMEDY ENTERTAINMENT,505 GAMES,ACTION ADVENTURE,RATED M FOR MATURE,8.1,479,PLAYSTATION 5
SALT LAKE 2002,2002-01-29,ATTENTION TO DETAIL,EIDOS INTERACTIVE,ATHLETICS,RATED E FOR EVERYONE,0.0,0,GAME BOY ADVANCE
WRC 7,2017-10-03,KYLOTONN,MAXIMUM GAMES,AUTO RACING SIM,RATED E FOR EVERYONE,7.1,40,PLAYSTATION 4
SONIC AND THE BLACK KNIGHT,2009-03-03,SONIC TEAM,SEGA,3D PLATFORMER,RATED E +10 FOR EVERYONE +10,7.3,231,WII
PUNCHOUT!!,2009-05-18,NEXT LEVEL GAMES,NINTENDO,COMBAT SPORT,RATED E +10 FOR EVERYONE +10,8.6,121,WII
KINGDOM OF THE DEAD,2022-02-10,DIRIGO GAMES,HOOK GAMES,FPS,,5.9,9,PC
FINGLE,2012-01-12,GAME OVEN,GAME OVEN,MISCELLANEOUS,,0.0,0,IOS (IPHONE/IPAD)
FINAL FANTASY CHRONICLES,2001-06-29,TOSE,SQUARE EA,COMPILATION,RATED T FOR TEEN,8.7,191,PLAYSTATION
EVERQUEST THE PLANES OF POWER,2002-10-28,SONY ONLINE ENTERTAINMENT,SONY ONLINE ENTERTAINMENT,MMORPG,RATED T FOR TEEN,5.6,7,PC
MX SUPERFLY FEATURING RICKY CARMICHAEL,2002-06-17,PACIFIC COAST POWER & LIGHT,THQ,ARCADE RACING,RATED E FOR EVERYONE,0.0,0,XBOX
CITIES IN MOTION,2011-02-22,COLOSSAL ORDER,PARADOX INTERACTIVE,MANAGEMENT,RATED E FOR EVERYONE,7.7,116,PC
SNIPER ELITE V2 REMASTERED,2019-05-14,REBELLION,REBELLION,TACTICAL THIRD PERSON SHOOTER,RATED M FOR MATURE,7.0,22,PLAYSTATION 4
DISNEY'S TARZAN RETURN TO THE JUNGLE,2002-09-14,DIGITAL ECLIPSE,ACTIVISION,2D PLATFORMER,RATED E FOR EVERYONE,0.0,0,GAME BOY ADVANCE
BLADE GUARDIAN,2012-10-01,MISTWALKER,MISTWALKER,SIMULATION,,0.0,0,IOS (IPHONE/IPAD)
CLOUDY WITH A CHANCE OF MEATBALLS,2009-09-18,UBISOFT SHANGHAI,UBISOFT,ACTION ADVENTURE,RATED E FOR EVERYONE,6.6,10,PSP
FIFA 21,2020-10-06,ELECTRONIC ARTS,ELECTRONIC ARTS,SOCCER SIM,RATED E FOR EVERYONE,1.0,2180,XBOX ONE
LANGRISSER I & II,2020-03-10,KADOKAWA,NIS AMERICA,COMPILATION,RATED T FOR TEEN,7.3,24,NINTENDO SWITCH
RUGBY WORLD CUP 2011,2011-09-01,HB STUDIOS MULTIMEDIA,505 GAMES,RUGBY,RATED E FOR EVERYONE,3.9,13,PLAYSTATION 3
NEED FOR SPEED III HOT PURSUIT,1998-03-25,EA CANADA,ELECTRONIC ARTS,AUTO RACING,RATED E FOR EVERYONE,8.5,11,PLAYSTATION
FUSION GENESIS,2011-11-09,STARFIRE STUDIOS,MICROSOFT GAME STUDIOS,TOP-DOWN SHOOT-'EM-UP,RATED T FOR TEEN,7.9,8,XBOX 360
BLADESTORM THE HUNDRED YEARS' WAR,2007-11-06,OMEGA FORCE,KOEI,3D BEAT-'EM-UP,RATED T FOR TEEN,6.2,13,PLAYSTATION 3
ATTACK OF THE MOVIES 3D,2010-05-18,PANIC BUTTON,MAJESCO,LIGHT GUN,RATED T FOR TEEN,1.9,8,XBOX 360
SD GUNDAM FORCE SHOWDOWN!,2004-10-11,TOM CREATE,BANDAI,THIRD PERSON SHOOTER,RATED E FOR EVERYONE,2.5,0,PLAYSTATION 2
TEMPLE OF YOG,2015-12-16,CHUDCHUD INDUSTRIES,CHUDCHUD INDUSTRIES,ACTION,RATED E +10 FOR EVERYONE +10,7.6,9,WII U
DISGAEA 4 A PROMISE UNFORGOTTEN,2011-09-06,NIPPON ICHI SOFTWARE,NIS AMERICA,TURN-BASED TACTICS,RATED T FOR TEEN,8.2,122,PLAYSTATION VITA
SOLAROLA,2012-07-26,SQUARE ENIX,SQUARE ENIX,ACTION PUZZLE,,0.0,0,IOS (IPHONE/IPAD)
WAKEBOARDING UNLEASHED FEATURING SHAUN MURRAY,2003-06-10,SHABA GAMES,ACTIVISION,SURFING,RATED E FOR EVERYONE,0.0,0,PLAYSTATION 2
ISTUNT 2,2011-03-09,MINICLIP.COM,MINICLIP.COM,SKIING,,8.2,5,IOS (IPHONE/IPAD)
THE TECHNOMANCER,2016-06-28,SPIDERS,FOCUS HOME INTERACTIVE,WESTERN RPG,RATED M FOR MATURE,6.8,163,PC
SNOCROSS CHAMPIONSHIP RACING,2000-11-30,UNIQUE DEVELOPMENT STUDIOS,CRAVE,ARCADE RACING,RATED E FOR EVERYONE,0.0,0,DREAMCAST
AGENT DASH,2012-08-02,FULL FAT,FULL FAT,3D PLATFORMER,,5.3,0,IOS (IPHONE/IPAD)
MIDWAY ARCADE TREASURES 2,2004-10-11,BACKBONE ENTERTAINMENT,MIDWAY,COMPILATION,RATED M FOR MATURE,6.6,5,PLAYSTATION 2
TETRIS 99,2019-02-13,ARIKA,NINTENDO,STACKING PUZZLE,RATED E FOR EVERYONE,8.1,321,NINTENDO SWITCH
ONE PIECE UNLIMITED WORLD RED  DELUXE EDITION,2017-09-29,GANBARION,BANDAI NAMCO GAMES,ACTION ADVENTURE,RATED T FOR TEEN,7.0,25,PLAYSTATION 4
KALIMBA,2014-12-17,PRESS PLAY,PRESS PLAY,ACTION PUZZLE,RATED E FOR EVERYONE,7.4,35,XBOX ONE
ANNA'S QUEST,2015-07-02,KRAMS DESIGN,DAEDALIC ENTERTAINMENT,POINT-AND-CLICK,,7.0,65,PC
STARSEED PILGRIM,2013-04-16,DROQEN,DROQEN,SIMULATION,,6.2,38,PC
IRON MAN 2,2010-05-04,SEGA STUDIOS SAN FRANCISCO,SEGA,ACTION ADVENTURE,RATED T FOR TEEN,3.8,24,PLAYSTATION 3
NBA 2K11,2010-10-05,VISUAL CONCEPTS,2K SPORTS,BASKETBALL SIM,RATED E FOR EVERYONE,8.3,117,WII
ROCKETBOWL,2008-09-10,LARGE ANIMAL,D3PUBLISHER,BOWLING,RATED E FOR EVERYONE,0.0,0,XBOX 360
DRAGON AGE ORIGINS,2009-11-03,BIOWARE,ELECTRONIC ARTS,WESTERN RPG,RATED M FOR MATURE,8.4,715,PC
STAR WARS ASSAULT TEAM,2014-03-27,,,CARD BATTLE,,0.0,0,IOS (IPHONE/IPAD)
TOP GUN,2010-08-17,DOUBLESIX,PARAMOUNT DIGITAL ENTERTAINMENT,AIRCRAFT COMBAT SIM,RATED T FOR TEEN,4.3,6,PLAYSTATION 3
DEAD SPACE EXTRACTION,2009-09-29,VISCERAL GAMES,ELECTRONIC ARTS,LIGHT GUN,RATED M FOR MATURE,7.6,74,WII
ORI AND THE BLIND FOREST DEFINITIVE EDITION,2016-03-11,MOON STUDIOS,MICROSOFT GAME STUDIOS,METROIDVANIA,RATED E FOR EVERYONE,8.2,500,XBOX ONE
DISNEY'S LILO & STITCH,2002-06-14,BLITZ GAMES,SCEA,3D PLATFORMER,RATED E FOR EVERYONE,6.6,14,PLAYSTATION
AIRPLANE MODE,2020-10-15,BACRONYM,AMC,VIRTUAL LIFE,,0.0,0,PC
REKT! HIGH OCTANE STUNTS,2021-05-26,NO GRAVITY GAMES,NO GRAVITY GAMES,AUTO RACING,RATED E FOR EVERYONE,0.0,0,IOS (IPHONE/IPAD)
CANDLEMAN,2017-02-01,SPOTLIGHTOR INTERACTIVE,E-HOME ENTERTAINMENT,3D PLATFORMER,RATED E +10 FOR EVERYONE +10,7.1,33,XBOX ONE
OPEN SEASON,2006-09-19,UBISOFT,UBISOFT,3D PLATFORMER,RATED E +10 FOR EVERYONE +10,6.4,9,WII
AEW FIGHT FOREVER,2023-06-29,YUKE'S,THQ NORDIC,WRESTLING,RATED T FOR TEEN,5.3,56,PLAYSTATION 5
THE OUTER WORLDS,2019-10-25,OBSIDIAN ENTERTAINMENT,PRIVATE DIVISION,WESTERN RPG,RATED M FOR MATURE,7.9,1561,PLAYSTATION 4
THE LAST SPELL,2023-03-09,ISHTAR GAMES INC.,THE ARCADE CREW,TURN-BASED TACTICS,RATED T FOR TEEN,8.1,22,NINTENDO SWITCH
WUNDERLING,2020-03-05,RETROID,RETROID,2D PLATFORMER,RATED E FOR EVERYONE,8.0,6,NINTENDO SWITCH
BEATERATOR,2009-09-29,ROCKSTAR LEEDS,ROCKSTAR GAMES,APPLICATION,RATED E FOR EVERYONE,7.9,8,PSP
NCAA FOOTBALL 14,2013-07-09,EA TIBURON,EA SPORTS,FOOTBALL SIM,RATED E FOR EVERYONE,6.1,87,PLAYSTATION 3
SMASH 'N' SURVIVE,2012-02-22,VERSION2GAMES LIMITED,VERSION2GAMES LIMITED,RACING,,0.0,0,PLAYSTATION 3
SPYRO SHADOW LEGACY,2005-10-18,AMAZE ENTERTAINMENT,VU GAMES,ACTION ADVENTURE,RATED E FOR EVERYONE,5.1,19,DS
AUTUMN DYNASTY WARLORDS,2014-02-26,TOUCH DIMENSIONS,TOUCH DIMENSIONS,ACTION,,0.0,0,IOS (IPHONE/IPAD)
LAMPLIGHT CITY,2018-09-13,GRUNDISLAV GAMES,APPLICATION SYSTEMS HEIDELBERG,POINT-AND-CLICK,,7.7,26,PC
THE SIMS 4 HIGH SCHOOL YEARS,2022-07-28,MAXIS,ELECTRONIC ARTS,VIRTUAL LIFE,RATED T FOR TEEN,2.6,5,PC
MAINLINING,2017-01-26,REBELEPHANT,MERGE GAMES,VIRTUAL CAREER,,0.0,0,PC
CODENAME PANZERS PHASE TWO,2005-07-25,STORMREGION,CDV SOFTWARE,REAL-TIME STRATEGY,RATED T FOR TEEN,8.0,25,PC
DISNEY MAGICAL WORLD 2 ENCHANTED EDITION,2021-12-03,H.A.N.D. INC.,BANDAI NAMCO GAMES,VIRTUAL LIFE,RATED E FOR EVERYONE,7.0,6,NINTENDO SWITCH
VAMPIRE MOON THE MYSTERY OF THE HIDDEN SUN,2010-10-12,CITY INTERACTIVE,CITY INTERACTIVE,HIDDEN OBJECT,RATED E FOR EVERYONE,0.0,0,DS
NANCY DREW LEGEND OF THE CRYSTAL SKULL,2007-10-08,HER INTERACTIVE,HER INTERACTIVE,POINT-AND-CLICK,RATED E FOR EVERYONE,6.9,14,PC
DRIVECLUB,2014-10-07,EVOLUTION STUDIOS,SCEA,AUTO RACING SIM,RATED E FOR EVERYONE,6.4,1808,PLAYSTATION 4
THE ELDER SCROLLS ONLINE HIGH ISLE,2022-06-06,ZENIMAX MEDIA,BETHESDA SOFTWORKS,MMORPG,,6.6,12,PC
FURY,2007-10-16,AURAN,GAMECOCK MEDIA GROUP,MMORPG,RATED T FOR TEEN,5.0,0,PC
TOKYO JUNGLE,2012-09-25,CRISPY'S,SCEA,SURVIVAL,RATED T FOR TEEN,8.0,113,PLAYSTATION 3
MIITOPIA,2021-05-21,GREZZO,NINTENDO,RPG,RATED E FOR EVERYONE,8.2,110,3DS
BLOOD STONE 007,2010-11-02,BIZARRE CREATIONS,ACTIVISION,THIRD PERSON SHOOTER,RATED T FOR TEEN,7.4,83,PLAYSTATION 3
BIG BRAIN ACADEMY WII DEGREE,2007-06-11,NINTENDO,NINTENDO,EDUTAINMENT,RATED E FOR EVERYONE,7.2,16,WII
TRANSFORMERS THE GAME,2007-06-26,TRAVELLER'S TALES,ACTIVISION,ACTION ADVENTURE,RATED T FOR TEEN,5.4,25,DS
SPIDERMAN EDGE OF TIME,2011-10-04,BEENOX,ACTIVISION,3D BEAT-'EM-UP,RATED T FOR TEEN,7.3,58,XBOX 360
NHL 08,2007-09-12,EA CANADA,ELECTRONIC ARTS,HOCKEY SIM,RATED E +10 FOR EVERYONE +10,6.7,6,PLAYSTATION 2
SAINTS ROW GAT OUT OF HELL,2015-01-20,VOLITION INC.,DEEP SILVER,OPEN-WORLD ACTION,RATED M FOR MATURE,5.6,186,PLAYSTATION 4
STEEL BATTALION LINE OF CONTACT,2004-02-27,CAPCOM,CAPCOM,VEHICLE COMBAT SIM,RATED T FOR TEEN,0.0,0,XBOX
TACTICAL INTERVENTION,2013-03-28,"FIX KOREA, CO. LTD",OGPLANET,FPS,,6.0,121,PC
SUPER MONSTERS ATE MY CONDO!,2012-09-27,ADULT SWIM,ADULT SWIM,STRATEGY,,6.9,7,IOS (IPHONE/IPAD)
